"","Code","GeoFips","GeoName","TimePeriod","CL_UNIT","UNIT_MULT","DataValue","NoteRef"
"1","CAEMP25N-10","00998","United States (Metropolitan Portion)","2001","Number of jobs","0",142876022,NA
"2","CAEMP25N-10","00998","United States (Metropolitan Portion)","2002","Number of jobs","0",142590402,NA
"3","CAEMP25N-10","00998","United States (Metropolitan Portion)","2003","Number of jobs","0",143452007,NA
"4","CAEMP25N-10","00998","United States (Metropolitan Portion)","2004","Number of jobs","0",146128722,NA
"5","CAEMP25N-10","00998","United States (Metropolitan Portion)","2005","Number of jobs","0",149308196,NA
"6","CAEMP25N-10","00998","United States (Metropolitan Portion)","2006","Number of jobs","0",152553091,NA
"7","CAEMP25N-10","00998","United States (Metropolitan Portion)","2007","Number of jobs","0",155904064,NA
"8","CAEMP25N-10","00998","United States (Metropolitan Portion)","2008","Number of jobs","0",155704073,NA
"9","CAEMP25N-10","00998","United States (Metropolitan Portion)","2009","Number of jobs","0",150901632,NA
"10","CAEMP25N-10","00998","United States (Metropolitan Portion)","2010","Number of jobs","0",150313128,NA
"11","CAEMP25N-10","00998","United States (Metropolitan Portion)","2011","Number of jobs","0",153263708,NA
"12","CAEMP25N-10","00998","United States (Metropolitan Portion)","2012","Number of jobs","0",155994342,NA
"13","CAEMP25N-10","00998","United States (Metropolitan Portion)","2013","Number of jobs","0",159160185,NA
"14","CAEMP25N-10","00998","United States (Metropolitan Portion)","2014","Number of jobs","0",162856760,NA
"15","CAEMP25N-10","00998","United States (Metropolitan Portion)","2015","Number of jobs","0",166858877,NA
"16","CAEMP25N-10","00998","United States (Metropolitan Portion)","2016","Number of jobs","0",169970416,NA
"17","CAEMP25N-10","00998","United States (Metropolitan Portion)","2017","Number of jobs","0",172911191,NA
"18","CAEMP25N-10","00998","United States (Metropolitan Portion)","2018","Number of jobs","0",176620605,NA
"19","CAEMP25N-10","00998","United States (Metropolitan Portion)","2019","Number of jobs","0",178053899,NA
"20","CAEMP25N-10","00998","United States (Metropolitan Portion)","2020","Number of jobs","0",172343185,NA
"21","CAEMP25N-10","00998","United States (Metropolitan Portion)","2021","Number of jobs","0",177728484,NA
"22","CAEMP25N-10","10180","Abilene, TX (Metropolitan Statistical Area)","2001","Number of jobs","0",89511,NA
"23","CAEMP25N-10","10180","Abilene, TX (Metropolitan Statistical Area)","2002","Number of jobs","0",90338,NA
"24","CAEMP25N-10","10180","Abilene, TX (Metropolitan Statistical Area)","2003","Number of jobs","0",91132,NA
"25","CAEMP25N-10","10180","Abilene, TX (Metropolitan Statistical Area)","2004","Number of jobs","0",91998,NA
"26","CAEMP25N-10","10180","Abilene, TX (Metropolitan Statistical Area)","2005","Number of jobs","0",92937,NA
"27","CAEMP25N-10","10180","Abilene, TX (Metropolitan Statistical Area)","2006","Number of jobs","0",94097,NA
