"","Code","GeoFips","GeoName","TimePeriod","CL_UNIT","UNIT_MULT","DataValue","NoteRef"
"1","CAEMP25S-10","00998","United States (Metropolitan Portion)","1969","Number of jobs","0",76332670,NA
"2","CAEMP25S-10","00998","United States (Metropolitan Portion)","1970","Number of jobs","0",76529099,NA
"3","CAEMP25S-10","00998","United States (Metropolitan Portion)","1971","Number of jobs","0",76690971,NA
"4","CAEMP25S-10","00998","United States (Metropolitan Portion)","1972","Number of jobs","0",78994380,NA
"5","CAEMP25S-10","00998","United States (Metropolitan Portion)","1973","Number of jobs","0",82553134,NA
"6","CAEMP25S-10","00998","United States (Metropolitan Portion)","1974","Number of jobs","0",83976310,NA
"7","CAEMP25S-10","00998","United States (Metropolitan Portion)","1975","Number of jobs","0",82932953,NA
"8","CAEMP25S-10","00998","United States (Metropolitan Portion)","1976","Number of jobs","0",85068711,NA
"9","CAEMP25S-10","00998","United States (Metropolitan Portion)","1977","Number of jobs","0",88085988,NA
"10","CAEMP25S-10","00998","United States (Metropolitan Portion)","1978","Number of jobs","0",92211162,NA
"11","CAEMP25S-10","00998","United States (Metropolitan Portion)","1979","Number of jobs","0",95317557,NA
"12","CAEMP25S-10","00998","United States (Metropolitan Portion)","1980","Number of jobs","0",96192405,NA
"13","CAEMP25S-10","00998","United States (Metropolitan Portion)","1981","Number of jobs","0",97080615,NA
"14","CAEMP25S-10","00998","United States (Metropolitan Portion)","1982","Number of jobs","0",96574130,NA
"15","CAEMP25S-10","00998","United States (Metropolitan Portion)","1983","Number of jobs","0",97890710,NA
"16","CAEMP25S-10","00998","United States (Metropolitan Portion)","1984","Number of jobs","0",102350758,NA
"17","CAEMP25S-10","00998","United States (Metropolitan Portion)","1985","Number of jobs","0",105527363,NA
"18","CAEMP25S-10","00998","United States (Metropolitan Portion)","1986","Number of jobs","0",107959410,NA
"19","CAEMP25S-10","00998","United States (Metropolitan Portion)","1987","Number of jobs","0",110916491,NA
"20","CAEMP25S-10","00998","United States (Metropolitan Portion)","1988","Number of jobs","0",114554143,NA
"21","CAEMP25S-10","00998","United States (Metropolitan Portion)","1989","Number of jobs","0",116872036,NA
"22","CAEMP25S-10","00998","United States (Metropolitan Portion)","1990","Number of jobs","0",118697766,NA
"23","CAEMP25S-10","00998","United States (Metropolitan Portion)","1991","Number of jobs","0",117923088,NA
"24","CAEMP25S-10","00998","United States (Metropolitan Portion)","1992","Number of jobs","0",118241772,NA
"25","CAEMP25S-10","00998","United States (Metropolitan Portion)","1993","Number of jobs","0",120377066,NA
"26","CAEMP25S-10","00998","United States (Metropolitan Portion)","1994","Number of jobs","0",123222447,NA
"27","CAEMP25S-10","00998","United States (Metropolitan Portion)","1995","Number of jobs","0",126421592,NA
"28","CAEMP25S-10","00998","United States (Metropolitan Portion)","1996","Number of jobs","0",129265304,NA
"29","CAEMP25S-10","00998","United States (Metropolitan Portion)","1997","Number of jobs","0",132366465,NA
"30","CAEMP25S-10","00998","United States (Metropolitan Portion)","1998","Number of jobs","0",136021698,NA
"31","CAEMP25S-10","00998","United States (Metropolitan Portion)","1999","Number of jobs","0",138869846,NA
"32","CAEMP25S-10","00998","United States (Metropolitan Portion)","2000","Number of jobs","0",142396424,NA
"33","CAEMP25S-10","10180","Abilene, TX (Metropolitan Statistical Area)","1969","Number of jobs","0",56041,NA
"34","CAEMP25S-10","10180","Abilene, TX (Metropolitan Statistical Area)","1970","Number of jobs","0",56215,NA
"35","CAEMP25S-10","10180","Abilene, TX (Metropolitan Statistical Area)","1971","Number of jobs","0",56614,NA
"36","CAEMP25S-10","10180","Abilene, TX (Metropolitan Statistical Area)","1972","Number of jobs","0",59092,NA
"37","CAEMP25S-10","10180","Abilene, TX (Metropolitan Statistical Area)","1973","Number of jobs","0",60359,NA
"38","CAEMP25S-10","10180","Abilene, TX (Metropolitan Statistical Area)","1974","Number of jobs","0",63366,NA
"39","CAEMP25S-10","10180","Abilene, TX (Metropolitan Statistical Area)","1975","Number of jobs","0",65822,NA
"40","CAEMP25S-10","10180","Abilene, TX (Metropolitan Statistical Area)","1976","Number of jobs","0",68298,NA
"41","CAEMP25S-10","10180","Abilene, TX (Metropolitan Statistical Area)","1977","Number of jobs","0",69994,NA
"42","CAEMP25S-10","10180","Abilene, TX (Metropolitan Statistical Area)","1978","Number of jobs","0",72932,NA
"43","CAEMP25S-10","10180","Abilene, TX (Metropolitan Statistical Area)","1979","Number of jobs","0",75773,NA
"44","CAEMP25S-10","10180","Abilene, TX (Metropolitan Statistical Area)","1980","Number of jobs","0",78280,NA
"45","CAEMP25S-10","10180","Abilene, TX (Metropolitan Statistical Area)","1981","Number of jobs","0",84737,NA
"46","CAEMP25S-10","10180","Abilene, TX (Metropolitan Statistical Area)","1982","Number of jobs","0",86685,NA
"47","CAEMP25S-10","10180","Abilene, TX (Metropolitan Statistical Area)","1983","Number of jobs","0",86693,NA
"48","CAEMP25S-10","10180","Abilene, TX (Metropolitan Statistical Area)","1984","Number of jobs","0",87720,NA
"49","CAEMP25S-10","10180","Abilene, TX (Metropolitan Statistical Area)","1985","Number of jobs","0",88722,NA
"50","CAEMP25S-10","10180","Abilene, TX (Metropolitan Statistical Area)","1986","Number of jobs","0",83720,NA
"51","CAEMP25S-10","10180","Abilene, TX (Metropolitan Statistical Area)","1987","Number of jobs","0",82965,NA
"52","CAEMP25S-10","10180","Abilene, TX (Metropolitan Statistical Area)","1988","Number of jobs","0",83645,NA
"53","CAEMP25S-10","10180","Abilene, TX (Metropolitan Statistical Area)","1989","Number of jobs","0",82367,NA
"54","CAEMP25S-10","10180","Abilene, TX (Metropolitan Statistical Area)","1990","Number of jobs","0",80942,NA
"55","CAEMP25S-10","10180","Abilene, TX (Metropolitan Statistical Area)","1991","Number of jobs","0",82259,NA
"56","CAEMP25S-10","10180","Abilene, TX (Metropolitan Statistical Area)","1992","Number of jobs","0",82277,NA
"57","CAEMP25S-10","10180","Abilene, TX (Metropolitan Statistical Area)","1993","Number of jobs","0",84362,NA
"58","CAEMP25S-10","10180","Abilene, TX (Metropolitan Statistical Area)","1994","Number of jobs","0",85682,NA
"59","CAEMP25S-10","10180","Abilene, TX (Metropolitan Statistical Area)","1995","Number of jobs","0",88181,NA
"60","CAEMP25S-10","10180","Abilene, TX (Metropolitan Statistical Area)","1996","Number of jobs","0",89587,NA
"61","CAEMP25S-10","10180","Abilene, TX (Metropolitan Statistical Area)","1997","Number of jobs","0",91934,NA
"62","CAEMP25S-10","10180","Abilene, TX (Metropolitan Statistical Area)","1998","Number of jobs","0",92577,NA
"63","CAEMP25S-10","10180","Abilene, TX (Metropolitan Statistical Area)","1999","Number of jobs","0",91417,NA
"64","CAEMP25S-10","10180","Abilene, TX (Metropolitan Statistical Area)","2000","Number of jobs","0",91027,NA
"65","CAEMP25S-10","10420","Akron, OH (Metropolitan Statistical Area)","1969","Number of jobs","0",280847,NA
"66","CAEMP25S-10","10420","Akron, OH (Metropolitan Statistical Area)","1970","Number of jobs","0",279931,NA
"67","CAEMP25S-10","10420","Akron, OH (Metropolitan Statistical Area)","1971","Number of jobs","0",274958,NA
"68","CAEMP25S-10","10420","Akron, OH (Metropolitan Statistical Area)","1972","Number of jobs","0",283207,NA
"69","CAEMP25S-10","10420","Akron, OH (Metropolitan Statistical Area)","1973","Number of jobs","0",292971,NA
"70","CAEMP25S-10","10420","Akron, OH (Metropolitan Statistical Area)","1974","Number of jobs","0",296332,NA
"71","CAEMP25S-10","10420","Akron, OH (Metropolitan Statistical Area)","1975","Number of jobs","0",285325,NA
"72","CAEMP25S-10","10420","Akron, OH (Metropolitan Statistical Area)","1976","Number of jobs","0",284907,NA
"73","CAEMP25S-10","10420","Akron, OH (Metropolitan Statistical Area)","1977","Number of jobs","0",297537,NA
"74","CAEMP25S-10","10420","Akron, OH (Metropolitan Statistical Area)","1978","Number of jobs","0",305459,NA
"75","CAEMP25S-10","10420","Akron, OH (Metropolitan Statistical Area)","1979","Number of jobs","0",307763,NA
"76","CAEMP25S-10","10420","Akron, OH (Metropolitan Statistical Area)","1980","Number of jobs","0",300754,NA
"77","CAEMP25S-10","10420","Akron, OH (Metropolitan Statistical Area)","1981","Number of jobs","0",297681,NA
"78","CAEMP25S-10","10420","Akron, OH (Metropolitan Statistical Area)","1982","Number of jobs","0",289691,NA
"79","CAEMP25S-10","10420","Akron, OH (Metropolitan Statistical Area)","1983","Number of jobs","0",285981,NA
"80","CAEMP25S-10","10420","Akron, OH (Metropolitan Statistical Area)","1984","Number of jobs","0",296150,NA
"81","CAEMP25S-10","10420","Akron, OH (Metropolitan Statistical Area)","1985","Number of jobs","0",303855,NA
"82","CAEMP25S-10","10420","Akron, OH (Metropolitan Statistical Area)","1986","Number of jobs","0",308919,NA
"83","CAEMP25S-10","10420","Akron, OH (Metropolitan Statistical Area)","1987","Number of jobs","0",316920,NA
"84","CAEMP25S-10","10420","Akron, OH (Metropolitan Statistical Area)","1988","Number of jobs","0",325266,NA
"85","CAEMP25S-10","10420","Akron, OH (Metropolitan Statistical Area)","1989","Number of jobs","0",333052,NA
"86","CAEMP25S-10","10420","Akron, OH (Metropolitan Statistical Area)","1990","Number of jobs","0",337124,NA
"87","CAEMP25S-10","10420","Akron, OH (Metropolitan Statistical Area)","1991","Number of jobs","0",337813,NA
"88","CAEMP25S-10","10420","Akron, OH (Metropolitan Statistical Area)","1992","Number of jobs","0",341070,NA
"89","CAEMP25S-10","10420","Akron, OH (Metropolitan Statistical Area)","1993","Number of jobs","0",350680,NA
"90","CAEMP25S-10","10420","Akron, OH (Metropolitan Statistical Area)","1994","Number of jobs","0",364299,NA
"91","CAEMP25S-10","10420","Akron, OH (Metropolitan Statistical Area)","1995","Number of jobs","0",374193,NA
"92","CAEMP25S-10","10420","Akron, OH (Metropolitan Statistical Area)","1996","Number of jobs","0",380965,NA
"93","CAEMP25S-10","10420","Akron, OH (Metropolitan Statistical Area)","1997","Number of jobs","0",387561,NA
"94","CAEMP25S-10","10420","Akron, OH (Metropolitan Statistical Area)","1998","Number of jobs","0",385717,NA
"95","CAEMP25S-10","10420","Akron, OH (Metropolitan Statistical Area)","1999","Number of jobs","0",393612,NA
"96","CAEMP25S-10","10420","Akron, OH (Metropolitan Statistical Area)","2000","Number of jobs","0",397340,NA
"97","CAEMP25S-10","10500","Albany, GA (Metropolitan Statistical Area)","1969","Number of jobs","0",52605,NA
"98","CAEMP25S-10","10500","Albany, GA (Metropolitan Statistical Area)","1970","Number of jobs","0",54371,NA
"99","CAEMP25S-10","10500","Albany, GA (Metropolitan Statistical Area)","1971","Number of jobs","0",56006,NA
"100","CAEMP25S-10","10500","Albany, GA (Metropolitan Statistical Area)","1972","Number of jobs","0",59514,NA
"101","CAEMP25S-10","10500","Albany, GA (Metropolitan Statistical Area)","1973","Number of jobs","0",62897,NA
"102","CAEMP25S-10","10500","Albany, GA (Metropolitan Statistical Area)","1974","Number of jobs","0",60104,NA
"103","CAEMP25S-10","10500","Albany, GA (Metropolitan Statistical Area)","1975","Number of jobs","0",57820,NA
"104","CAEMP25S-10","10500","Albany, GA (Metropolitan Statistical Area)","1976","Number of jobs","0",58539,NA
"105","CAEMP25S-10","10500","Albany, GA (Metropolitan Statistical Area)","1977","Number of jobs","0",60289,NA
"106","CAEMP25S-10","10500","Albany, GA (Metropolitan Statistical Area)","1978","Number of jobs","0",63127,NA
"107","CAEMP25S-10","10500","Albany, GA (Metropolitan Statistical Area)","1979","Number of jobs","0",65194,NA
"108","CAEMP25S-10","10500","Albany, GA (Metropolitan Statistical Area)","1980","Number of jobs","0",64930,NA
"109","CAEMP25S-10","10500","Albany, GA (Metropolitan Statistical Area)","1981","Number of jobs","0",65616,NA
"110","CAEMP25S-10","10500","Albany, GA (Metropolitan Statistical Area)","1982","Number of jobs","0",64644,NA
"111","CAEMP25S-10","10500","Albany, GA (Metropolitan Statistical Area)","1983","Number of jobs","0",64805,NA
"112","CAEMP25S-10","10500","Albany, GA (Metropolitan Statistical Area)","1984","Number of jobs","0",68104,NA
