"","Code","GeoFips","GeoName","TimePeriod","CL_UNIT","UNIT_MULT","DataValue","NoteRef"
"1","CAGDP1-1","00998","United States (Metropolitan Portion)","2001","Thousands of chained 2012 dollars","3",11874235672,NA
"2","CAGDP1-1","00998","United States (Metropolitan Portion)","2002","Thousands of chained 2012 dollars","3",12073716413,NA
"3","CAGDP1-1","00998","United States (Metropolitan Portion)","2003","Thousands of chained 2012 dollars","3",12400061626,NA
"4","CAGDP1-1","00998","United States (Metropolitan Portion)","2004","Thousands of chained 2012 dollars","3",12881271967,NA
"5","CAGDP1-1","00998","United States (Metropolitan Portion)","2005","Thousands of chained 2012 dollars","3",13346389557,NA
"6","CAGDP1-1","00998","United States (Metropolitan Portion)","2006","Thousands of chained 2012 dollars","3",13735373450,NA
"7","CAGDP1-1","00998","United States (Metropolitan Portion)","2007","Thousands of chained 2012 dollars","3",13989583238,NA
"8","CAGDP1-1","00998","United States (Metropolitan Portion)","2008","Thousands of chained 2012 dollars","3",13981160156,NA
"9","CAGDP1-1","00998","United States (Metropolitan Portion)","2009","Thousands of chained 2012 dollars","3",13570753477,NA
"10","CAGDP1-1","00998","United States (Metropolitan Portion)","2010","Thousands of chained 2012 dollars","3",13907350523,NA
"11","CAGDP1-1","00998","United States (Metropolitan Portion)","2011","Thousands of chained 2012 dollars","3",14096256054,NA
"12","CAGDP1-1","00998","United States (Metropolitan Portion)","2012","Thousands of chained 2012 dollars","3",14393209919,NA
"13","CAGDP1-1","00998","United States (Metropolitan Portion)","2013","Thousands of chained 2012 dollars","3",14599728227,NA
"14","CAGDP1-1","00998","United States (Metropolitan Portion)","2014","Thousands of chained 2012 dollars","3",14946063032,NA
"15","CAGDP1-1","00998","United States (Metropolitan Portion)","2015","Thousands of chained 2012 dollars","3",15388564160,NA
"16","CAGDP1-1","00998","United States (Metropolitan Portion)","2016","Thousands of chained 2012 dollars","3",15686018842,NA
"17","CAGDP1-1","00998","United States (Metropolitan Portion)","2017","Thousands of chained 2012 dollars","3",16068774774,NA
"18","CAGDP1-1","00998","United States (Metropolitan Portion)","2018","Thousands of chained 2012 dollars","3",16556927576,NA
"19","CAGDP1-1","00998","United States (Metropolitan Portion)","2019","Thousands of chained 2012 dollars","3",16953993045,NA
"20","CAGDP1-1","00998","United States (Metropolitan Portion)","2020","Thousands of chained 2012 dollars","3",16367128880,NA
"21","CAGDP1-1","10180","Abilene, TX (Metropolitan Statistical Area)","2001","Thousands of chained 2012 dollars","3",4922832,NA
"22","CAGDP1-1","10180","Abilene, TX (Metropolitan Statistical Area)","2002","Thousands of chained 2012 dollars","3",4979332,NA
"23","CAGDP1-1","10180","Abilene, TX (Metropolitan Statistical Area)","2003","Thousands of chained 2012 dollars","3",5058616,NA
"24","CAGDP1-1","10180","Abilene, TX (Metropolitan Statistical Area)","2004","Thousands of chained 2012 dollars","3",5174625,NA
"25","CAGDP1-1","10180","Abilene, TX (Metropolitan Statistical Area)","2005","Thousands of chained 2012 dollars","3",5295114,NA
"26","CAGDP1-1","10180","Abilene, TX (Metropolitan Statistical Area)","2006","Thousands of chained 2012 dollars","3",5724189,NA
"27","CAGDP1-1","10180","Abilene, TX (Metropolitan Statistical Area)","2007","Thousands of chained 2012 dollars","3",5898491,NA
