"","area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","qtrly_estabs","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_chg","oty_qtrly_estabs_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"1",50000,0,"10",50,0,2021,2,"",27473,287518,289754,294229,3966703462,698822168,13487800,1050,"",1,1,1,1,1,1,1,1,"",1345,5.1,44106,18.1,31112,12,22095,8.1,428945883,12.1,32019742,4.8,-4596689,-25.4,-5,-0.5
"2",50000,1,"10",51,0,2021,2,"",442,6978,6920,6932,151665122,0,0,1680,"",2.83,1.19,1.19,1.18,1.31,0,0,1.11,"",3,0.7,-345,-4.7,-434,-5.9,-286,-4,1028246,0.7,0,0,0,0,92,5.8
"3",50000,1,"102",52,0,2021,2,"",442,6978,6920,6932,151665122,0,0,1680,"",2.84,1.22,1.21,1.2,1.34,0,0,1.11,"",3,0.7,-345,-4.7,-434,-5.9,-286,-4,1028246,0.7,0,0,0,0,92,5.8
"4",50000,1,"1021",53,0,2021,2,"",266,1650,1630,1630,25734897,0,0,1210,"",3.45,1.2,1.21,1.2,1.28,0,0,1.07,"",-1,-0.4,40,2.5,-29,-1.7,-24,-1.5,1099284,4.5,0,0,0,0,55,4.8
"5",50000,1,"1023",53,0,2021,2,"",4,29,28,28,589297,0,0,1600,"",2.05,1.17,1.12,1.11,0.84,0,0,0.74,"",0,0,1,3.6,0,0,0,0,-20859,-3.4,0,0,0,0,-76,-4.5
"6",50000,1,"1024",53,0,2021,2,"",7,43,51,54,1033260,0,0,1611,"",1.89,0.31,0.36,0.38,0.37,0,0,1.07,"",0,0,-1,-2.3,-4,-7.3,-1,-1.8,1141,0.1,0,0,0,0,64,4.1
"7",50000,1,"1025",53,0,2021,2,"",3,1213,1219,1223,30826775,0,0,1946,"",0.85,1.39,1.4,1.39,1.79,0,0,1.29,"",0,0,21,1.8,19,1.6,27,2.3,1152167,3.9,0,0,0,0,37,1.9
"8",50000,1,"1026",53,0,2021,2,"",1,0,1,2,40013,0,0,3078,"",0.26,0,0.01,0.02,0.04,0,0,3.44,"",0,0,0,0,1,100,2,100,40013,100,0,0,0,0,3078,100
"9",50000,1,"1028",53,0,2021,2,"",161,4043,3991,3995,93440880,0,0,1793,"",2.48,1.26,1.24,1.23,1.31,0,0,1.06,"",4,2.5,-406,-9.1,-421,-9.5,-290,-6.8,-1243500,-1.3,0,0,0,0,131,7.9
"10",50000,1,"48-49",54,0,2021,2,"",266,1650,1630,1630,25734897,0,0,1210,"",3.55,1.3,1.31,1.31,1.37,0,0,1.05,"",-1,-0.4,40,2.5,-29,-1.7,-24,-1.5,1099284,4.5,0,0,0,0,55,4.8
