"","area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","qtrly_estabs","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_chg","oty_qtrly_estabs_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"1","US000",0,"10",10,0,2016,2,"",9677672,141663752,142452460,142779369,1828458950549,349825817037,7928780015,988,"",1,1,1,1,1,1,1,1,"",207548,2.2,2874053,2.1,2314263,1.7,2163101,1.5,68767310543,3.9,13469239837,4,-666445981,-7.8,20,2.1
"2","US000",1,"10",11,0,2016,2,"",60360,2772645,2786077,2808658,50166185427,0,0,1384,"",1,1,1,1,1,0,0,1,"",-574,-0.9,16116,0.6,35657,1.3,44987,1.6,534941366,1.1,0,0,0,0,-1,-0.1
"3","US000",1,"101",12,0,2016,2,"",121,49107,49455,50513,889643589,0,0,1377,"",1,1,1,1,1,0,0,1,"",0,0,1627,3.4,1444,3,1876,3.9,30358791,3.5,0,0,0,0,1,0.1
"4","US000",1,"1011",13,0,2016,2,"",74,2739,3133,3968,42869362,0,0,1005,"",1,1,1,1,1,0,0,1,"",-2,-2.6,-112,-3.9,-55,-1.7,400,11.2,862228,2.1,0,0,0,0,-4,-0.4
"5","US000",1,"1012",13,0,2016,2,"",2,4,4,5,109313,0,0,1940,"",1,1,1,1,1,0,0,1,"",0,0,0,0,0,0,1,25,-19775,-15.3,0,0,0,0,-542,-21.8
"6","US000",1,"1013",13,0,2016,2,"",45,46364,46318,46540,846664914,0,0,1403,"",1,1,1,1,1,0,0,1,"",2,4.7,1739,3.9,1499,3.3,1475,3.3,29516338,3.6,0,0,0,0,1,0.1
"7","US000",1,"102",12,0,2016,2,"",60239,2723538,2736622,2758145,49276541838,0,0,1384,"",1,1,1,1,1,0,0,1,"",-574,-0.9,14489,0.5,34213,1.3,43111,1.6,504582575,1,0,0,0,0,-1,-0.1
"8","US000",1,"1021",13,0,2016,2,"",30172,672859,677954,679976,9118595671,0,0,1036,"",1,1,1,1,1,0,0,1,"",-152,-0.5,-5612,-0.8,13650,2.1,15159,2.3,50441887,0.6,0,0,0,0,-6,-0.6
"9","US000",1,"1022",13,0,2016,2,"",122,6554,6581,6632,114981912,0,0,1342,"",1,1,1,1,1,0,0,1,"",-4,-3.2,13,0.2,-8,-0.1,-102,-1.5,533940,0.5,0,0,0,0,12,0.9
"10","US000",1,"1023",13,0,2016,2,"",797,13180,13100,13331,343548193,0,0,2001,"",1,1,1,1,1,0,0,1,"",-2,-0.3,-401,-3,-481,-3.5,-322,-2.4,4124127,1.2,0,0,0,0,82,4.3
"11","US000",1,"1024",13,0,2016,2,"",1477,64094,64390,65293,1272567772,0,0,1516,"",1,1,1,1,1,0,0,1,"",1,0.1,513,0.8,447,0.7,647,1,-82703493,-6.1,0,0,0,0,-111,-6.8
"12","US000",1,"1025",13,0,2016,2,"",1362,402852,403188,402592,7041018383,0,0,1344,"",1,1,1,1,1,0,0,1,"",23,1.7,12869,3.3,12039,3.1,10693,2.7,279505651,4.1,0,0,0,0,14,1.1
"13","US000",1,"1026",13,0,2016,2,"",1563,49024,51845,55917,554063602,0,0,816,"",1,1,1,1,1,0,0,1,"",-27,-1.7,-63,-0.1,-321,-0.6,-211,-0.4,11361043,2.1,0,0,0,0,20,2.5
"14","US000",1,"1027",13,0,2016,2,"",176,4611,4678,4613,59053559,0,0,980,"",1,1,1,1,1,0,0,1,"",8,4.8,129,2.9,137,3,75,1.7,3159193,5.7,0,0,0,0,29,3
"15","US000",1,"1028",13,0,2016,2,"",24562,1510360,1514882,1529786,30772635925,0,0,1559,"",1,1,1,1,1,0,0,1,"",-424,-1.7,7040,0.5,8749,0.6,17170,1.1,238153556,0.8,0,0,0,0,1,0.1
"16","US000",1,"1029",13,0,2016,2,"",8,4,4,5,76821,0,0,1364,"",1,1,1,1,1,0,0,1,"",3,60,1,33.3,1,33.3,2,66.7,6671,9.5,0,0,0,0,-435,-24.2
"17","US000",1,"11",14,0,2016,2,"",74,2739,3133,3968,42869362,0,0,1005,"",1,1,1,1,1,0,0,1,"",-2,-2.6,-112,-3.9,-55,-1.7,400,11.2,862228,2.1,0,0,0,0,-4,-0.4
"18","US000",1,"112",15,0,2016,2,"",2,17,18,24,255042,0,0,998,"",1,1,1,1,1,0,0,1,"",0,0,1,6.2,2,12.5,3,14.3,28368,12.5,0,0,0,0,11,1.1
"19","US000",1,"1125",16,0,2016,2,"",2,17,18,24,255042,0,0,998,"",1,1,1,1,1,0,0,1,"",0,0,1,6.2,2,12.5,3,14.3,28368,12.5,0,0,0,0,11,1.1
"20","US000",1,"11251",17,0,2016,2,"",2,17,18,24,255042,0,0,998,"",1,1,1,1,1,0,0,1,"",0,0,1,6.2,2,12.5,3,14.3,28368,12.5,0,0,0,0,11,1.1
"21","US000",1,"112511",18,0,2016,2,"",2,17,18,24,255042,0,0,998,"",1,1,1,1,1,0,0,1,"",0,0,1,6.2,2,12.5,3,14.3,28368,12.5,0,0,0,0,11,1.1
"22","US000",1,"113",15,0,2016,2,"",68,2714,3110,3940,42582934,0,0,1006,"",1,1,1,1,1,0,0,1,"",-2,-2.9,-114,-4,-58,-1.8,396,11.2,830956,2,0,0,0,0,-4,-0.4
"23","US000",1,"1131",16,0,2016,2,"",68,2714,3110,3940,42582934,0,0,1006,"",1,1,1,1,1,0,0,1,"",-2,-2.9,-114,-4,-58,-1.8,396,11.2,830956,2,0,0,0,0,-4,-0.4
"24","US000",1,"11311",17,0,2016,2,"",68,2714,3110,3940,42582934,0,0,1006,"",1,1,1,1,1,0,0,1,"",-2,-2.9,-114,-4,-58,-1.8,396,11.2,830956,2,0,0,0,0,-4,-0.4
"25","US000",1,"113110",18,0,2016,2,"",68,2714,3110,3940,42582934,0,0,1006,"",1,1,1,1,1,0,0,1,"",-2,-2.9,-114,-4,-58,-1.8,396,11.2,830956,2,0,0,0,0,-4,-0.4
"26","US000",1,"114",15,0,2016,2,"",1,8,5,4,31386,0,0,426,"",1,1,1,1,1,0,0,1,"",0,0,1,14.3,1,25,1,33.3,2904,10.2,0,0,0,0,-43,-9.2
"27","US000",1,"1142",16,0,2016,2,"",1,8,5,4,31386,0,0,426,"",1,1,1,1,1,0,0,1,"",0,0,1,14.3,1,25,1,33.3,2904,10.2,0,0,0,0,-43,-9.2
"28","US000",1,"11421",17,0,2016,2,"",1,8,5,4,31386,0,0,426,"",1,1,1,1,1,0,0,1,"",0,0,1,14.3,1,25,1,33.3,2904,10.2,0,0,0,0,-43,-9.2
"29","US000",1,"114210",18,0,2016,2,"",1,8,5,4,31386,0,0,426,"",1,1,1,1,1,0,0,1,"",0,0,1,14.3,1,25,1,33.3,2904,10.2,0,0,0,0,-43,-9.2
"30","US000",1,"115",15,0,2016,2,"",3,0,0,0,0,0,0,0,"",1,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31","US000",1,"1153",16,0,2016,2,"",3,0,0,0,0,0,0,0,"",1,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32","US000",1,"11531",17,0,2016,2,"",3,0,0,0,0,0,0,0,"",1,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33","US000",1,"115310",18,0,2016,2,"",3,0,0,0,0,0,0,0,"",1,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
