"","Code","GeoFips","GeoName","TimePeriod","CL_UNIT","UNIT_MULT","DataValue"
"1","SAEMP25N-10","00000","United States","1998","Number of jobs","0",158481200
"2","SAEMP25N-10","00000","United States","1999","Number of jobs","0",161531300
"3","SAEMP25N-10","00000","United States","2000","Number of jobs","0",165370800
"4","SAEMP25N-10","00000","United States","2001","Number of jobs","0",165522200
"5","SAEMP25N-10","00000","United States","2002","Number of jobs","0",165095100
"6","SAEMP25N-10","00000","United States","2003","Number of jobs","0",165921500
"7","SAEMP25N-10","00000","United States","2004","Number of jobs","0",168839700
"8","SAEMP25N-10","00000","United States","2005","Number of jobs","0",172338400
"9","SAEMP25N-10","00000","United States","2006","Number of jobs","0",175868600
"10","SAEMP25N-10","00000","United States","2007","Number of jobs","0",179543700
"11","SAEMP25N-10","00000","United States","2008","Number of jobs","0",179213900
"12","SAEMP25N-10","00000","United States","2009","Number of jobs","0",173636700
"13","SAEMP25N-10","00000","United States","2010","Number of jobs","0",172901700
"14","SAEMP25N-10","00000","United States","2011","Number of jobs","0",176091700
"15","SAEMP25N-10","00000","United States","2012","Number of jobs","0",178979700
"16","SAEMP25N-10","00000","United States","2013","Number of jobs","0",182325100
"17","SAEMP25N-10","00000","United States","2014","Number of jobs","0",186233800
"18","SAEMP25N-10","00000","United States","2015","Number of jobs","0",190325800
"19","SAEMP25N-10","00000","United States","2016","Number of jobs","0",193425900
"20","SAEMP25N-10","00000","United States","2017","Number of jobs","0",196394100
"21","SAEMP25N-10","00000","United States","2018","Number of jobs","0",200281200
"22","SAEMP25N-10","00000","United States","2019","Number of jobs","0",201648200
"23","SAEMP25N-10","00000","United States","2020","Number of jobs","0",195301600
"24","SAEMP25N-10","00000","United States","2021","Number of jobs","0",201142600
"25","SAEMP25N-10","01000","Alabama","1998","Number of jobs","0",2361892
"26","SAEMP25N-10","01000","Alabama","1999","Number of jobs","0",2378217
"27","SAEMP25N-10","01000","Alabama","2000","Number of jobs","0",2392225
"28","SAEMP25N-10","01000","Alabama","2001","Number of jobs","0",2376053
"29","SAEMP25N-10","01000","Alabama","2002","Number of jobs","0",2364828
"30","SAEMP25N-10","01000","Alabama","2003","Number of jobs","0",2371430
"31","SAEMP25N-10","01000","Alabama","2004","Number of jobs","0",2425649
"32","SAEMP25N-10","01000","Alabama","2005","Number of jobs","0",2486833
"33","SAEMP25N-10","01000","Alabama","2006","Number of jobs","0",2545556
"34","SAEMP25N-10","01000","Alabama","2007","Number of jobs","0",2604078
"35","SAEMP25N-10","01000","Alabama","2008","Number of jobs","0",2582591
"36","SAEMP25N-10","01000","Alabama","2009","Number of jobs","0",2479507
"37","SAEMP25N-10","01000","Alabama","2010","Number of jobs","0",2460298
"38","SAEMP25N-10","01000","Alabama","2011","Number of jobs","0",2497933
"39","SAEMP25N-10","01000","Alabama","2012","Number of jobs","0",2503678
