"","Code","GeoFips","GeoName","TimePeriod","CL_UNIT","UNIT_MULT","DataValue"
"1","SAEMP25S-10","00000","United States","1969","Number of jobs","0",91053200
"2","SAEMP25S-10","00000","United States","1970","Number of jobs","0",91277600
"3","SAEMP25S-10","00000","United States","1971","Number of jobs","0",91581400
"4","SAEMP25S-10","00000","United States","1972","Number of jobs","0",94312200
"5","SAEMP25S-10","00000","United States","1973","Number of jobs","0",98427500
"6","SAEMP25S-10","00000","United States","1974","Number of jobs","0",100111800
"7","SAEMP25S-10","00000","United States","1975","Number of jobs","0",98900600
"8","SAEMP25S-10","00000","United States","1976","Number of jobs","0",101591200
"9","SAEMP25S-10","00000","United States","1977","Number of jobs","0",105042200
"10","SAEMP25S-10","00000","United States","1978","Number of jobs","0",109686600
"11","SAEMP25S-10","00000","United States","1979","Number of jobs","0",113147100
"12","SAEMP25S-10","00000","United States","1980","Number of jobs","0",113983200
"13","SAEMP25S-10","00000","United States","1981","Number of jobs","0",114914000
"14","SAEMP25S-10","00000","United States","1982","Number of jobs","0",114163300
"15","SAEMP25S-10","00000","United States","1983","Number of jobs","0",115645700
"16","SAEMP25S-10","00000","United States","1984","Number of jobs","0",120528100
"17","SAEMP25S-10","00000","United States","1985","Number of jobs","0",123796700
"18","SAEMP25S-10","00000","United States","1986","Number of jobs","0",126232300
"19","SAEMP25S-10","00000","United States","1987","Number of jobs","0",129548400
"20","SAEMP25S-10","00000","United States","1988","Number of jobs","0",133563900
"21","SAEMP25S-10","00000","United States","1989","Number of jobs","0",136177800
"22","SAEMP25S-10","00000","United States","1990","Number of jobs","0",138330900
"23","SAEMP25S-10","00000","United States","1991","Number of jobs","0",137612800
"24","SAEMP25S-10","00000","United States","1992","Number of jobs","0",138166100
"25","SAEMP25S-10","00000","United States","1993","Number of jobs","0",140774400
"26","SAEMP25S-10","00000","United States","1994","Number of jobs","0",144196600
"27","SAEMP25S-10","00000","United States","1995","Number of jobs","0",147915800
"28","SAEMP25S-10","00000","United States","1996","Number of jobs","0",151056200
"29","SAEMP25S-10","00000","United States","1997","Number of jobs","0",154541200
"30","SAEMP25S-10","00000","United States","1998","Number of jobs","0",158481200
"31","SAEMP25S-10","00000","United States","1999","Number of jobs","0",161531300
"32","SAEMP25S-10","00000","United States","2000","Number of jobs","0",165370800
"33","SAEMP25S-10","00000","United States","2001","Number of jobs","0",165522200
"34","SAEMP25S-10","01000","Alabama","1969","Number of jobs","0",1411234
"35","SAEMP25S-10","01000","Alabama","1970","Number of jobs","0",1412928
"36","SAEMP25S-10","01000","Alabama","1971","Number of jobs","0",1423459
"37","SAEMP25S-10","01000","Alabama","1972","Number of jobs","0",1470523
"38","SAEMP25S-10","01000","Alabama","1973","Number of jobs","0",1525967
"39","SAEMP25S-10","01000","Alabama","1974","Number of jobs","0",1552266
"40","SAEMP25S-10","01000","Alabama","1975","Number of jobs","0",1543312
"41","SAEMP25S-10","01000","Alabama","1976","Number of jobs","0",1593952
"42","SAEMP25S-10","01000","Alabama","1977","Number of jobs","0",1651033
"43","SAEMP25S-10","01000","Alabama","1978","Number of jobs","0",1712582
"44","SAEMP25S-10","01000","Alabama","1979","Number of jobs","0",1735879
"45","SAEMP25S-10","01000","Alabama","1980","Number of jobs","0",1731866
"46","SAEMP25S-10","01000","Alabama","1981","Number of jobs","0",1718783
"47","SAEMP25S-10","01000","Alabama","1982","Number of jobs","0",1687466
"48","SAEMP25S-10","01000","Alabama","1983","Number of jobs","0",1716798
"49","SAEMP25S-10","01000","Alabama","1984","Number of jobs","0",1779584
"50","SAEMP25S-10","01000","Alabama","1985","Number of jobs","0",1821588
"51","SAEMP25S-10","01000","Alabama","1986","Number of jobs","0",1858269
"52","SAEMP25S-10","01000","Alabama","1987","Number of jobs","0",1911569
"53","SAEMP25S-10","01000","Alabama","1988","Number of jobs","0",1969768
"54","SAEMP25S-10","01000","Alabama","1989","Number of jobs","0",2006365
"55","SAEMP25S-10","01000","Alabama","1990","Number of jobs","0",2047865
"56","SAEMP25S-10","01000","Alabama","1991","Number of jobs","0",2060099
"57","SAEMP25S-10","01000","Alabama","1992","Number of jobs","0",2097425
"58","SAEMP25S-10","01000","Alabama","1993","Number of jobs","0",2158752
"59","SAEMP25S-10","01000","Alabama","1994","Number of jobs","0",2180001
"60","SAEMP25S-10","01000","Alabama","1995","Number of jobs","0",2241551
"61","SAEMP25S-10","01000","Alabama","1996","Number of jobs","0",2275108
"62","SAEMP25S-10","01000","Alabama","1997","Number of jobs","0",2321253
"63","SAEMP25S-10","01000","Alabama","1998","Number of jobs","0",2361892
"64","SAEMP25S-10","01000","Alabama","1999","Number of jobs","0",2378217
"65","SAEMP25S-10","01000","Alabama","2000","Number of jobs","0",2392225
"66","SAEMP25S-10","01000","Alabama","2001","Number of jobs","0",2376053
"67","SAEMP25S-10","02000","Alaska","1969","Number of jobs","0",143816
"68","SAEMP25S-10","02000","Alaska","1970","Number of jobs","0",149006
"69","SAEMP25S-10","02000","Alaska","1971","Number of jobs","0",153071
"70","SAEMP25S-10","02000","Alaska","1972","Number of jobs","0",158341
"71","SAEMP25S-10","02000","Alaska","1973","Number of jobs","0",167102
"72","SAEMP25S-10","02000","Alaska","1974","Number of jobs","0",188957
"73","SAEMP25S-10","02000","Alaska","1975","Number of jobs","0",227185
"74","SAEMP25S-10","02000","Alaska","1976","Number of jobs","0",242956
"75","SAEMP25S-10","02000","Alaska","1977","Number of jobs","0",236928
"76","SAEMP25S-10","02000","Alaska","1978","Number of jobs","0",237556
"77","SAEMP25S-10","02000","Alaska","1979","Number of jobs","0",240753
"78","SAEMP25S-10","02000","Alaska","1980","Number of jobs","0",243706
"79","SAEMP25S-10","02000","Alaska","1981","Number of jobs","0",252410
"80","SAEMP25S-10","02000","Alaska","1982","Number of jobs","0",277085
"81","SAEMP25S-10","02000","Alaska","1983","Number of jobs","0",296629
"82","SAEMP25S-10","02000","Alaska","1984","Number of jobs","0",309004
"83","SAEMP25S-10","02000","Alaska","1985","Number of jobs","0",316395
"84","SAEMP25S-10","02000","Alaska","1986","Number of jobs","0",309714
"85","SAEMP25S-10","02000","Alaska","1987","Number of jobs","0",310141
"86","SAEMP25S-10","02000","Alaska","1988","Number of jobs","0",316728
"87","SAEMP25S-10","02000","Alaska","1989","Number of jobs","0",328642
"88","SAEMP25S-10","02000","Alaska","1990","Number of jobs","0",338924
"89","SAEMP25S-10","02000","Alaska","1991","Number of jobs","0",347156
"90","SAEMP25S-10","02000","Alaska","1992","Number of jobs","0",350764
"91","SAEMP25S-10","02000","Alaska","1993","Number of jobs","0",358161
"92","SAEMP25S-10","02000","Alaska","1994","Number of jobs","0",363344
"93","SAEMP25S-10","02000","Alaska","1995","Number of jobs","0",365083
"94","SAEMP25S-10","02000","Alaska","1996","Number of jobs","0",369095
"95","SAEMP25S-10","02000","Alaska","1997","Number of jobs","0",374497
"96","SAEMP25S-10","02000","Alaska","1998","Number of jobs","0",382166
"97","SAEMP25S-10","02000","Alaska","1999","Number of jobs","0",381307
"98","SAEMP25S-10","02000","Alaska","2000","Number of jobs","0",389734
"99","SAEMP25S-10","02000","Alaska","2001","Number of jobs","0",394565
"100","SAEMP25S-10","04000","Arizona","1969","Number of jobs","0",711344
"101","SAEMP25S-10","04000","Arizona","1970","Number of jobs","0",746653
"102","SAEMP25S-10","04000","Arizona","1971","Number of jobs","0",785731
"103","SAEMP25S-10","04000","Arizona","1972","Number of jobs","0",849706
"104","SAEMP25S-10","04000","Arizona","1973","Number of jobs","0",924890
"105","SAEMP25S-10","04000","Arizona","1974","Number of jobs","0",955104
"106","SAEMP25S-10","04000","Arizona","1975","Number of jobs","0",935070
"107","SAEMP25S-10","04000","Arizona","1976","Number of jobs","0",976118
"108","SAEMP25S-10","04000","Arizona","1977","Number of jobs","0",1047500
"109","SAEMP25S-10","04000","Arizona","1978","Number of jobs","0",1149617
"110","SAEMP25S-10","04000","Arizona","1979","Number of jobs","0",1240161
"111","SAEMP25S-10","04000","Arizona","1980","Number of jobs","0",1282615
"112","SAEMP25S-10","04000","Arizona","1981","Number of jobs","0",1312566
"113","SAEMP25S-10","04000","Arizona","1982","Number of jobs","0",1315333
"114","SAEMP25S-10","04000","Arizona","1983","Number of jobs","0",1378623
"115","SAEMP25S-10","04000","Arizona","1984","Number of jobs","0",1504336
"116","SAEMP25S-10","04000","Arizona","1985","Number of jobs","0",1621750
"117","SAEMP25S-10","04000","Arizona","1986","Number of jobs","0",1700594
"118","SAEMP25S-10","04000","Arizona","1987","Number of jobs","0",1764638
"119","SAEMP25S-10","04000","Arizona","1988","Number of jobs","0",1833198
"120","SAEMP25S-10","04000","Arizona","1989","Number of jobs","0",1864934
"121","SAEMP25S-10","04000","Arizona","1990","Number of jobs","0",1894104
"122","SAEMP25S-10","04000","Arizona","1991","Number of jobs","0",1902691
