"","Code","GeoFips","GeoName","TimePeriod","CL_UNIT","UNIT_MULT","DataValue"
"1","SAGDP1-1","00000","United States","1997","Millions of chained 2012 dollars","6",11529157
"2","SAGDP1-1","00000","United States","1998","Millions of chained 2012 dollars","6",12045824
"3","SAGDP1-1","00000","United States","1999","Millions of chained 2012 dollars","6",12623361
"4","SAGDP1-1","00000","United States","2000","Millions of chained 2012 dollars","6",13138035
"5","SAGDP1-1","00000","United States","2001","Millions of chained 2012 dollars","6",13263417
"6","SAGDP1-1","00000","United States","2002","Millions of chained 2012 dollars","6",13488357
"7","SAGDP1-1","00000","United States","2003","Millions of chained 2012 dollars","6",13865519
"8","SAGDP1-1","00000","United States","2004","Millions of chained 2012 dollars","6",14399696
"9","SAGDP1-1","00000","United States","2005","Millions of chained 2012 dollars","6",14901269
"10","SAGDP1-1","00000","United States","2006","Millions of chained 2012 dollars","6",15315943
"11","SAGDP1-1","00000","United States","2007","Millions of chained 2012 dollars","6",15623871
"12","SAGDP1-1","00000","United States","2008","Millions of chained 2012 dollars","6",15642962
"13","SAGDP1-1","00000","United States","2009","Millions of chained 2012 dollars","6",15236262
"14","SAGDP1-1","00000","United States","2010","Millions of chained 2012 dollars","6",15648991
"15","SAGDP1-1","00000","United States","2011","Millions of chained 2012 dollars","6",15891534
"16","SAGDP1-1","00000","United States","2012","Millions of chained 2012 dollars","6",16253970
"17","SAGDP1-1","00000","United States","2013","Millions of chained 2012 dollars","6",16553348
"18","SAGDP1-1","00000","United States","2014","Millions of chained 2012 dollars","6",16932051
"19","SAGDP1-1","00000","United States","2015","Millions of chained 2012 dollars","6",17390295
"20","SAGDP1-1","00000","United States","2016","Millions of chained 2012 dollars","6",17680274
"21","SAGDP1-1","00000","United States","2017","Millions of chained 2012 dollars","6",18079084
"22","SAGDP1-1","00000","United States","2018","Millions of chained 2012 dollars","6",18606787
"23","SAGDP1-1","00000","United States","2019","Millions of chained 2012 dollars","6",19032672
"24","SAGDP1-1","00000","United States","2020","Millions of chained 2012 dollars","6",18384687
"25","SAGDP1-1","00000","United States","2021","Millions of chained 2012 dollars","6",19427287
"26","SAGDP1-1","01000","Alabama","1997","Millions of chained 2012 dollars","6",144501.2
"27","SAGDP1-1","01000","Alabama","1998","Millions of chained 2012 dollars","6",149568.2
"28","SAGDP1-1","01000","Alabama","1999","Millions of chained 2012 dollars","6",154900.2
"29","SAGDP1-1","01000","Alabama","2000","Millions of chained 2012 dollars","6",157221.3
"30","SAGDP1-1","01000","Alabama","2001","Millions of chained 2012 dollars","6",156853.2
"31","SAGDP1-1","01000","Alabama","2002","Millions of chained 2012 dollars","6",160422.4
"32","SAGDP1-1","01000","Alabama","2003","Millions of chained 2012 dollars","6",165134.7
"33","SAGDP1-1","01000","Alabama","2004","Millions of chained 2012 dollars","6",176625
"34","SAGDP1-1","01000","Alabama","2005","Millions of chained 2012 dollars","6",184369.5
"35","SAGDP1-1","01000","Alabama","2006","Millions of chained 2012 dollars","6",187270.8
"36","SAGDP1-1","01000","Alabama","2007","Millions of chained 2012 dollars","6",189002.5
"37","SAGDP1-1","01000","Alabama","2008","Millions of chained 2012 dollars","6",186946.7
"38","SAGDP1-1","01000","Alabama","2009","Millions of chained 2012 dollars","6",180707.2
"39","SAGDP1-1","01000","Alabama","2010","Millions of chained 2012 dollars","6",184702.4
"40","SAGDP1-1","01000","Alabama","2011","Millions of chained 2012 dollars","6",187605.8
"41","SAGDP1-1","01000","Alabama","2012","Millions of chained 2012 dollars","6",189245.5
"42","SAGDP1-1","01000","Alabama","2013","Millions of chained 2012 dollars","6",191369.8
"43","SAGDP1-1","01000","Alabama","2014","Millions of chained 2012 dollars","6",189886.3
"44","SAGDP1-1","01000","Alabama","2015","Millions of chained 2012 dollars","6",191335.2
"45","SAGDP1-1","01000","Alabama","2016","Millions of chained 2012 dollars","6",194283.8
"46","SAGDP1-1","01000","Alabama","2017","Millions of chained 2012 dollars","6",197566.6
"47","SAGDP1-1","01000","Alabama","2018","Millions of chained 2012 dollars","6",200800.9
"48","SAGDP1-1","01000","Alabama","2019","Millions of chained 2012 dollars","6",203383.9
"49","SAGDP1-1","01000","Alabama","2020","Millions of chained 2012 dollars","6",196906.1
"50","SAGDP1-1","01000","Alabama","2021","Millions of chained 2012 dollars","6",204884.6
"51","SAGDP1-1","02000","Alaska","1997","Millions of chained 2012 dollars","6",42211.3
"52","SAGDP1-1","02000","Alaska","1998","Millions of chained 2012 dollars","6",41095.9
"53","SAGDP1-1","02000","Alaska","1999","Millions of chained 2012 dollars","6",40590.5
"54","SAGDP1-1","02000","Alaska","2000","Millions of chained 2012 dollars","6",39406.6
"55","SAGDP1-1","02000","Alaska","2001","Millions of chained 2012 dollars","6",40958.7
"56","SAGDP1-1","02000","Alaska","2002","Millions of chained 2012 dollars","6",42979
"57","SAGDP1-1","02000","Alaska","2003","Millions of chained 2012 dollars","6",42355.3
"58","SAGDP1-1","02000","Alaska","2004","Millions of chained 2012 dollars","6",44055
"59","SAGDP1-1","02000","Alaska","2005","Millions of chained 2012 dollars","6",45657.1
"60","SAGDP1-1","02000","Alaska","2006","Millions of chained 2012 dollars","6",49190.2
"61","SAGDP1-1","02000","Alaska","2007","Millions of chained 2012 dollars","6",51721
"62","SAGDP1-1","02000","Alaska","2008","Millions of chained 2012 dollars","6",51252.1
"63","SAGDP1-1","02000","Alaska","2009","Millions of chained 2012 dollars","6",56215.1
"64","SAGDP1-1","02000","Alaska","2010","Millions of chained 2012 dollars","6",54601.5
"65","SAGDP1-1","02000","Alaska","2011","Millions of chained 2012 dollars","6",55280.3
"66","SAGDP1-1","02000","Alaska","2012","Millions of chained 2012 dollars","6",58283.6
"67","SAGDP1-1","02000","Alaska","2013","Millions of chained 2012 dollars","6",55354.3
"68","SAGDP1-1","02000","Alaska","2014","Millions of chained 2012 dollars","6",54188.2
"69","SAGDP1-1","02000","Alaska","2015","Millions of chained 2012 dollars","6",54740.8
"70","SAGDP1-1","02000","Alaska","2016","Millions of chained 2012 dollars","6",54246.6
"71","SAGDP1-1","02000","Alaska","2017","Millions of chained 2012 dollars","6",54129.5
"72","SAGDP1-1","02000","Alaska","2018","Millions of chained 2012 dollars","6",53249.6
"73","SAGDP1-1","02000","Alaska","2019","Millions of chained 2012 dollars","6",53336.5
"74","SAGDP1-1","02000","Alaska","2020","Millions of chained 2012 dollars","6",50161
"75","SAGDP1-1","02000","Alaska","2021","Millions of chained 2012 dollars","6",50300.3
"76","SAGDP1-1","04000","Arizona","1997","Millions of chained 2012 dollars","6",168408.8
"77","SAGDP1-1","04000","Arizona","1998","Millions of chained 2012 dollars","6",183060.5
"78","SAGDP1-1","04000","Arizona","1999","Millions of chained 2012 dollars","6",198699.9
"79","SAGDP1-1","04000","Arizona","2000","Millions of chained 2012 dollars","6",208439.5
"80","SAGDP1-1","04000","Arizona","2001","Millions of chained 2012 dollars","6",213166.2
"81","SAGDP1-1","04000","Arizona","2002","Millions of chained 2012 dollars","6",220696.7
