"","Code","GeoFips","GeoName","TimePeriod","CL_UNIT","UNIT_MULT","DataValue"
"1","SAGDP2S-1",0,"United States",1963,"Millions of current dollars",6,607007.8
"2","SAGDP2S-1",0,"United States",1964,"Millions of current dollars",6,650513
"3","SAGDP2S-1",0,"United States",1965,"Millions of current dollars",6,704697.1
"4","SAGDP2S-1",0,"United States",1966,"Millions of current dollars",6,767075
"5","SAGDP2S-1",0,"United States",1967,"Millions of current dollars",6,811782.2
"6","SAGDP2S-1",0,"United States",1968,"Millions of current dollars",6,887568.5
"7","SAGDP2S-1",0,"United States",1969,"Millions of current dollars",6,962901.7
"8","SAGDP2S-1",0,"United States",1970,"Millions of current dollars",6,1012299.3
"9","SAGDP2S-1",0,"United States",1971,"Millions of current dollars",6,1097173.4
"10","SAGDP2S-1",0,"United States",1972,"Millions of current dollars",6,1210292.4
"11","SAGDP2S-1",0,"United States",1973,"Millions of current dollars",6,1356499.7
"12","SAGDP2S-1",0,"United States",1974,"Millions of current dollars",6,1472024.2
"13","SAGDP2S-1",0,"United States",1975,"Millions of current dollars",6,1602227.6
"14","SAGDP2S-1",0,"United States",1976,"Millions of current dollars",6,1780497.3
"15","SAGDP2S-1",0,"United States",1977,"Millions of current dollars",6,1986407.7
"16","SAGDP2S-1",0,"United States",1978,"Millions of current dollars",6,2243230.1
"17","SAGDP2S-1",0,"United States",1979,"Millions of current dollars",6,2489416.5
"18","SAGDP2S-1",0,"United States",1980,"Millions of current dollars",6,2713932.7
"19","SAGDP2S-1",0,"United States",1981,"Millions of current dollars",6,3057318.1
"20","SAGDP2S-1",0,"United States",1982,"Millions of current dollars",6,3211369.7
"21","SAGDP2S-1",0,"United States",1983,"Millions of current dollars",6,3445371.9
"22","SAGDP2S-1",0,"United States",1984,"Millions of current dollars",6,3853668
"23","SAGDP2S-1",0,"United States",1985,"Millions of current dollars",6,4126663.9
"24","SAGDP2S-1",0,"United States",1986,"Millions of current dollars",6,4340812.6
"25","SAGDP2S-1",0,"United States",1987,"Millions of current dollars",6,4649020.4
"26","SAGDP2S-1",0,"United States",1988,"Millions of current dollars",6,5053003.3
"27","SAGDP2S-1",0,"United States",1989,"Millions of current dollars",6,5366079.6
"28","SAGDP2S-1",0,"United States",1990,"Millions of current dollars",6,5651746.7
"29","SAGDP2S-1",0,"United States",1991,"Millions of current dollars",6,5842664.7
"30","SAGDP2S-1",0,"United States",1992,"Millions of current dollars",6,6167644.2
"31","SAGDP2S-1",0,"United States",1993,"Millions of current dollars",6,6467697.5
"32","SAGDP2S-1",0,"United States",1994,"Millions of current dollars",6,6912843.5
"33","SAGDP2S-1",0,"United States",1995,"Millions of current dollars",6,7299371.5
"34","SAGDP2S-1",0,"United States",1996,"Millions of current dollars",6,7749965.4
"1505","SAGDP2N-1",0,"United States",1997,"Millions of current dollars",6,8577552
"2100","SAGDP2N-1",0,"United States",1998,"Millions of current dollars",6,9062817
"3100","SAGDP2N-1",0,"United States",1999,"Millions of current dollars",6,9631172
"4100","SAGDP2N-1",0,"United States",2000,"Millions of current dollars",6,10250952
"5100","SAGDP2N-1",0,"United States",2001,"Millions of current dollars",6,10581929
"6100","SAGDP2N-1",0,"United States",2002,"Millions of current dollars",6,10929108
"7100","SAGDP2N-1",0,"United States",2003,"Millions of current dollars",6,11456450
"8100","SAGDP2N-1",0,"United States",2004,"Millions of current dollars",6,12217196
"9100","SAGDP2N-1",0,"United States",2005,"Millions of current dollars",6,13039197
"10100","SAGDP2N-1",0,"United States",2006,"Millions of current dollars",6,13815583
"11100","SAGDP2N-1",0,"United States",2007,"Millions of current dollars",6,14474228
"12100","SAGDP2N-1",0,"United States",2008,"Millions of current dollars",6,14769862
"13100","SAGDP2N-1",0,"United States",2009,"Millions of current dollars",6,14478067
"14100","SAGDP2N-1",0,"United States",2010,"Millions of current dollars",6,15048970
"1540","SAGDP2N-1",0,"United States",2011,"Millions of current dollars",6,15599731
"1610","SAGDP2N-1",0,"United States",2012,"Millions of current dollars",6,16253970
"1715","SAGDP2N-1",0,"United States",2013,"Millions of current dollars",6,16843196
"1820","SAGDP2N-1",0,"United States",2014,"Millions of current dollars",6,17550687
"1925","SAGDP2N-1",0,"United States",2015,"Millions of current dollars",6,18206023
"2030","SAGDP2N-1",0,"United States",2016,"Millions of current dollars",6,18695106
"2110","SAGDP2N-1",0,"United States",2017,"Millions of current dollars",6,19479623
"2210","SAGDP2N-1",0,"United States",2018,"Millions of current dollars",6,20527159
"2310","SAGDP2N-1",0,"United States",2019,"Millions of current dollars",6,21372582
"2410","SAGDP2N-1",0,"United States",2020,"Millions of current dollars",6,20893746
"2510","SAGDP2N-1",0,"United States",2021,"Millions of current dollars",6,22996086
"36","SAGDP2S-1",1000,"Alabama",1963,"Millions of current dollars",6,7343.1
"37","SAGDP2S-1",1000,"Alabama",1964,"Millions of current dollars",6,8219.6
"38","SAGDP2S-1",1000,"Alabama",1965,"Millions of current dollars",6,8994.3
"39","SAGDP2S-1",1000,"Alabama",1966,"Millions of current dollars",6,9847.2
"40","SAGDP2S-1",1000,"Alabama",1967,"Millions of current dollars",6,10052.7
"41","SAGDP2S-1",1000,"Alabama",1968,"Millions of current dollars",6,10976.6
"42","SAGDP2S-1",1000,"Alabama",1969,"Millions of current dollars",6,11865.9
"43","SAGDP2S-1",1000,"Alabama",1970,"Millions of current dollars",6,12474.8
"44","SAGDP2S-1",1000,"Alabama",1971,"Millions of current dollars",6,13623.6
"45","SAGDP2S-1",1000,"Alabama",1972,"Millions of current dollars",6,15356.3
"46","SAGDP2S-1",1000,"Alabama",1973,"Millions of current dollars",6,17428.4
"47","SAGDP2S-1",1000,"Alabama",1974,"Millions of current dollars",6,19453.6
"48","SAGDP2S-1",1000,"Alabama",1975,"Millions of current dollars",6,21346
"49","SAGDP2S-1",1000,"Alabama",1976,"Millions of current dollars",6,24324
"50","SAGDP2S-1",1000,"Alabama",1977,"Millions of current dollars",6,26724.9
"51","SAGDP2S-1",1000,"Alabama",1978,"Millions of current dollars",6,30546.5
"52","SAGDP2S-1",1000,"Alabama",1979,"Millions of current dollars",6,33711.9
"53","SAGDP2S-1",1000,"Alabama",1980,"Millions of current dollars",6,36142.5
"54","SAGDP2S-1",1000,"Alabama",1981,"Millions of current dollars",6,40257.4
"55","SAGDP2S-1",1000,"Alabama",1982,"Millions of current dollars",6,41778.1
"56","SAGDP2S-1",1000,"Alabama",1983,"Millions of current dollars",6,45678.6
"57","SAGDP2S-1",1000,"Alabama",1984,"Millions of current dollars",6,50010.1
"58","SAGDP2S-1",1000,"Alabama",1985,"Millions of current dollars",6,53823.6
"59","SAGDP2S-1",1000,"Alabama",1986,"Millions of current dollars",6,56133.8
"60","SAGDP2S-1",1000,"Alabama",1987,"Millions of current dollars",6,60751.8
"61","SAGDP2S-1",1000,"Alabama",1988,"Millions of current dollars",6,66007.5
"62","SAGDP2S-1",1000,"Alabama",1989,"Millions of current dollars",6,68394.4
"63","SAGDP2S-1",1000,"Alabama",1990,"Millions of current dollars",6,71610
"64","SAGDP2S-1",1000,"Alabama",1991,"Millions of current dollars",6,76043.3
"65","SAGDP2S-1",1000,"Alabama",1992,"Millions of current dollars",6,81260.1
"66","SAGDP2S-1",1000,"Alabama",1993,"Millions of current dollars",6,84562.8
"67","SAGDP2S-1",1000,"Alabama",1994,"Millions of current dollars",6,90098.5
"68","SAGDP2S-1",1000,"Alabama",1995,"Millions of current dollars",6,95819.1
"69","SAGDP2S-1",1000,"Alabama",1996,"Millions of current dollars",6,100145.9
"2610","SAGDP2N-1",1000,"Alabama",1997,"Millions of current dollars",6,104811.9
"2710","SAGDP2N-1",1000,"Alabama",1998,"Millions of current dollars",6,110212
"2810","SAGDP2N-1",1000,"Alabama",1999,"Millions of current dollars",6,115680.1
"2910","SAGDP2N-1",1000,"Alabama",2000,"Millions of current dollars",6,119851.7
"3010","SAGDP2N-1",1000,"Alabama",2001,"Millions of current dollars",6,122915.5
"3110","SAGDP2N-1",1000,"Alabama",2002,"Millions of current dollars",6,127505
"3210","SAGDP2N-1",1000,"Alabama",2003,"Millions of current dollars",6,134152.6
"3310","SAGDP2N-1",1000,"Alabama",2004,"Millions of current dollars",6,147715.2
"3410","SAGDP2N-1",1000,"Alabama",2005,"Millions of current dollars",6,158846.8
"35","SAGDP2N-1",1000,"Alabama",2006,"Millions of current dollars",6,166469
"3610","SAGDP2N-1",1000,"Alabama",2007,"Millions of current dollars",6,172975.2
"3710","SAGDP2N-1",1000,"Alabama",2008,"Millions of current dollars",6,174526.3
"3810","SAGDP2N-1",1000,"Alabama",2009,"Millions of current dollars",6,170930.9
"3910","SAGDP2N-1",1000,"Alabama",2010,"Millions of current dollars",6,177249.2
"4010","SAGDP2N-1",1000,"Alabama",2011,"Millions of current dollars",6,183916.6
"4110","SAGDP2N-1",1000,"Alabama",2012,"Millions of current dollars",6,189245.5
"4210","SAGDP2N-1",1000,"Alabama",2013,"Millions of current dollars",6,194786.9
"4310","SAGDP2N-1",1000,"Alabama",2014,"Millions of current dollars",6,197406.9
"4410","SAGDP2N-1",1000,"Alabama",2015,"Millions of current dollars",6,202372.4
"4510","SAGDP2N-1",1000,"Alabama",2016,"Millions of current dollars",6,207368.4
"4610","SAGDP2N-1",1000,"Alabama",2017,"Millions of current dollars",6,215085.9
"4710","SAGDP2N-1",1000,"Alabama",2018,"Millions of current dollars",6,224046.9
"4810","SAGDP2N-1",1000,"Alabama",2019,"Millions of current dollars",6,231171.8
"4910","SAGDP2N-1",1000,"Alabama",2020,"Millions of current dollars",6,226896.5
"5010","SAGDP2N-1",1000,"Alabama",2021,"Millions of current dollars",6,247092.5
"71","SAGDP2S-1",2000,"Alaska",1963,"Millions of current dollars",6,1083.1
"72","SAGDP2S-1",2000,"Alaska",1964,"Millions of current dollars",6,1229.9
"73","SAGDP2S-1",2000,"Alaska",1965,"Millions of current dollars",6,1374.3
"74","SAGDP2S-1",2000,"Alaska",1966,"Millions of current dollars",6,1494
"75","SAGDP2S-1",2000,"Alaska",1967,"Millions of current dollars",6,1642.8
"76","SAGDP2S-1",2000,"Alaska",1968,"Millions of current dollars",6,1899.5
"77","SAGDP2S-1",2000,"Alaska",1969,"Millions of current dollars",6,2073.5
"78","SAGDP2S-1",2000,"Alaska",1970,"Millions of current dollars",6,2359.2
"79","SAGDP2S-1",2000,"Alaska",1971,"Millions of current dollars",6,2539.5
"80","SAGDP2S-1",2000,"Alaska",1972,"Millions of current dollars",6,2742.6
"81","SAGDP2S-1",2000,"Alaska",1973,"Millions of current dollars",6,3040.7
"82","SAGDP2S-1",2000,"Alaska",1974,"Millions of current dollars",6,3998.9
"83","SAGDP2S-1",2000,"Alaska",1975,"Millions of current dollars",6,6220.1
"84","SAGDP2S-1",2000,"Alaska",1976,"Millions of current dollars",6,7470.3
"85","SAGDP2S-1",2000,"Alaska",1977,"Millions of current dollars",6,7544.3
"86","SAGDP2S-1",2000,"Alaska",1978,"Millions of current dollars",6,9129.8
"87","SAGDP2S-1",2000,"Alaska",1979,"Millions of current dollars",6,10891.4
"88","SAGDP2S-1",2000,"Alaska",1980,"Millions of current dollars",6,15281.8
"89","SAGDP2S-1",2000,"Alaska",1981,"Millions of current dollars",6,21823.6
"90","SAGDP2S-1",2000,"Alaska",1982,"Millions of current dollars",6,23460.6
"91","SAGDP2S-1",2000,"Alaska",1983,"Millions of current dollars",6,22591.2
"92","SAGDP2S-1",2000,"Alaska",1984,"Millions of current dollars",6,23787.5
"93","SAGDP2S-1",2000,"Alaska",1985,"Millions of current dollars",6,26142.5
"94","SAGDP2S-1",2000,"Alaska",1986,"Millions of current dollars",6,19180.7
"95","SAGDP2S-1",2000,"Alaska",1987,"Millions of current dollars",6,22925.4
"96","SAGDP2S-1",2000,"Alaska",1988,"Millions of current dollars",6,21270
"97","SAGDP2S-1",2000,"Alaska",1989,"Millions of current dollars",6,23453.3
"98","SAGDP2S-1",2000,"Alaska",1990,"Millions of current dollars",6,25039.5
"99","SAGDP2S-1",2000,"Alaska",1991,"Millions of current dollars",6,22282.5
"100","SAGDP2S-1",2000,"Alaska",1992,"Millions of current dollars",6,22752.8
"101","SAGDP2S-1",2000,"Alaska",1993,"Millions of current dollars",6,23284.2
"102","SAGDP2S-1",2000,"Alaska",1994,"Millions of current dollars",6,23604.7
"103","SAGDP2S-1",2000,"Alaska",1995,"Millions of current dollars",6,25448.8
"104","SAGDP2S-1",2000,"Alaska",1996,"Millions of current dollars",6,26736.9
"5110","SAGDP2N-1",2000,"Alaska",1997,"Millions of current dollars",6,25810.8
"5210","SAGDP2N-1",2000,"Alaska",1998,"Millions of current dollars",6,24227.5
"5310","SAGDP2N-1",2000,"Alaska",1999,"Millions of current dollars",6,24744.3
"5410","SAGDP2N-1",2000,"Alaska",2000,"Millions of current dollars",6,26806.6
"5510","SAGDP2N-1",2000,"Alaska",2001,"Millions of current dollars",6,28494.1
"5610","SAGDP2N-1",2000,"Alaska",2002,"Millions of current dollars",6,29756.8
"5710","SAGDP2N-1",2000,"Alaska",2003,"Millions of current dollars",6,32037.9
"5810","SAGDP2N-1",2000,"Alaska",2004,"Millions of current dollars",6,35302.4
"5910","SAGDP2N-1",2000,"Alaska",2005,"Millions of current dollars",6,40356.6
"6010","SAGDP2N-1",2000,"Alaska",2006,"Millions of current dollars",6,45094.1
"6110","SAGDP2N-1",2000,"Alaska",2007,"Millions of current dollars",6,49583.7
"6210","SAGDP2N-1",2000,"Alaska",2008,"Millions of current dollars",6,55122.5
"6310","SAGDP2N-1",2000,"Alaska",2009,"Millions of current dollars",6,49957.8
"6410","SAGDP2N-1",2000,"Alaska",2010,"Millions of current dollars",6,53331.6
"6510","SAGDP2N-1",2000,"Alaska",2011,"Millions of current dollars",6,56896.3
"6610","SAGDP2N-1",2000,"Alaska",2012,"Millions of current dollars",6,58283.6
"6710","SAGDP2N-1",2000,"Alaska",2013,"Millions of current dollars",6,57247.7
"6810","SAGDP2N-1",2000,"Alaska",2014,"Millions of current dollars",6,56484.9
"6910","SAGDP2N-1",2000,"Alaska",2015,"Millions of current dollars",6,51490.9
"70","SAGDP2N-1",2000,"Alaska",2016,"Millions of current dollars",6,50727.7
"7110","SAGDP2N-1",2000,"Alaska",2017,"Millions of current dollars",6,53089.3
"7210","SAGDP2N-1",2000,"Alaska",2018,"Millions of current dollars",6,54711.7
"7310","SAGDP2N-1",2000,"Alaska",2019,"Millions of current dollars",6,54547.1
"7410","SAGDP2N-1",2000,"Alaska",2020,"Millions of current dollars",6,49820
"7510","SAGDP2N-1",2000,"Alaska",2021,"Millions of current dollars",6,54970.1
"106","SAGDP2S-1",4000,"Arizona",1963,"Millions of current dollars",6,4482.1
"107","SAGDP2S-1",4000,"Arizona",1964,"Millions of current dollars",6,4817
"108","SAGDP2S-1",4000,"Arizona",1965,"Millions of current dollars",6,5027.5
"109","SAGDP2S-1",4000,"Arizona",1966,"Millions of current dollars",6,5527.3
"110","SAGDP2S-1",4000,"Arizona",1967,"Millions of current dollars",6,5783.4
"111","SAGDP2S-1",4000,"Arizona",1968,"Millions of current dollars",6,6593.4
"112","SAGDP2S-1",4000,"Arizona",1969,"Millions of current dollars",6,7563.2
"113","SAGDP2S-1",4000,"Arizona",1970,"Millions of current dollars",6,8569
"114","SAGDP2S-1",4000,"Arizona",1971,"Millions of current dollars",6,9649
"115","SAGDP2S-1",4000,"Arizona",1972,"Millions of current dollars",6,11291.9
"116","SAGDP2S-1",4000,"Arizona",1973,"Millions of current dollars",6,13329.8
"117","SAGDP2S-1",4000,"Arizona",1974,"Millions of current dollars",6,14611.3
"118","SAGDP2S-1",4000,"Arizona",1975,"Millions of current dollars",6,15284.3
"119","SAGDP2S-1",4000,"Arizona",1976,"Millions of current dollars",6,16970
"120","SAGDP2S-1",4000,"Arizona",1977,"Millions of current dollars",6,19609.2
"121","SAGDP2S-1",4000,"Arizona",1978,"Millions of current dollars",6,23278.5
"122","SAGDP2S-1",4000,"Arizona",1979,"Millions of current dollars",6,27495.4
"123","SAGDP2S-1",4000,"Arizona",1980,"Millions of current dollars",6,30764.3
"124","SAGDP2S-1",4000,"Arizona",1981,"Millions of current dollars",6,34268.6
"125","SAGDP2S-1",4000,"Arizona",1982,"Millions of current dollars",6,35793.7
"126","SAGDP2S-1",4000,"Arizona",1983,"Millions of current dollars",6,39774
"127","SAGDP2S-1",4000,"Arizona",1984,"Millions of current dollars",6,46135
"128","SAGDP2S-1",4000,"Arizona",1985,"Millions of current dollars",6,50708.7
"129","SAGDP2S-1",4000,"Arizona",1986,"Millions of current dollars",6,55880.9
"130","SAGDP2S-1",4000,"Arizona",1987,"Millions of current dollars",6,60046.7
"131","SAGDP2S-1",4000,"Arizona",1988,"Millions of current dollars",6,64944.6
"132","SAGDP2S-1",4000,"Arizona",1989,"Millions of current dollars",6,67895.5
"133","SAGDP2S-1",4000,"Arizona",1990,"Millions of current dollars",6,70631.7
"134","SAGDP2S-1",4000,"Arizona",1991,"Millions of current dollars",6,73358.3
