"","Code","GeoFips","GeoName","TimePeriod","CL_UNIT","UNIT_MULT","DataValue"
"1","SQGDP1-1","00000","United States","2005Q1","Millions of chained 2012 dollars","6",14767846
"2","SQGDP1-1","00000","United States","2005Q2","Millions of chained 2012 dollars","6",14839707
"3","SQGDP1-1","00000","United States","2005Q3","Millions of chained 2012 dollars","6",14956291
"4","SQGDP1-1","00000","United States","2005Q4","Millions of chained 2012 dollars","6",15041232
"5","SQGDP1-1","00000","United States","2006Q1","Millions of chained 2012 dollars","6",15244088
"6","SQGDP1-1","00000","United States","2006Q2","Millions of chained 2012 dollars","6",15281525
"7","SQGDP1-1","00000","United States","2006Q3","Millions of chained 2012 dollars","6",15304517
"8","SQGDP1-1","00000","United States","2006Q4","Millions of chained 2012 dollars","6",15433643
"9","SQGDP1-1","00000","United States","2007Q1","Millions of chained 2012 dollars","6",15478956
"10","SQGDP1-1","00000","United States","2007Q2","Millions of chained 2012 dollars","6",15577779
"11","SQGDP1-1","00000","United States","2007Q3","Millions of chained 2012 dollars","6",15671605
"12","SQGDP1-1","00000","United States","2007Q4","Millions of chained 2012 dollars","6",15767146
"13","SQGDP1-1","00000","United States","2008Q1","Millions of chained 2012 dollars","6",15702906
"14","SQGDP1-1","00000","United States","2008Q2","Millions of chained 2012 dollars","6",15792773
"15","SQGDP1-1","00000","United States","2008Q3","Millions of chained 2012 dollars","6",15709562
"16","SQGDP1-1","00000","United States","2008Q4","Millions of chained 2012 dollars","6",15366607
"17","SQGDP1-1","00000","United States","2009Q1","Millions of chained 2012 dollars","6",15187475
"18","SQGDP1-1","00000","United States","2009Q2","Millions of chained 2012 dollars","6",15161772
"19","SQGDP1-1","00000","United States","2009Q3","Millions of chained 2012 dollars","6",15216647
"20","SQGDP1-1","00000","United States","2009Q4","Millions of chained 2012 dollars","6",15379155
"21","SQGDP1-1","00000","United States","2010Q1","Millions of chained 2012 dollars","6",15456059
"22","SQGDP1-1","00000","United States","2010Q2","Millions of chained 2012 dollars","6",15605628
"23","SQGDP1-1","00000","United States","2010Q3","Millions of chained 2012 dollars","6",15726282
"24","SQGDP1-1","00000","United States","2010Q4","Millions of chained 2012 dollars","6",15807995
"25","SQGDP1-1","00000","United States","2011Q1","Millions of chained 2012 dollars","6",15769911
"26","SQGDP1-1","00000","United States","2011Q2","Millions of chained 2012 dollars","6",15876839
"27","SQGDP1-1","00000","United States","2011Q3","Millions of chained 2012 dollars","6",15870684
"28","SQGDP1-1","00000","United States","2011Q4","Millions of chained 2012 dollars","6",16048702
"29","SQGDP1-1","00000","United States","2012Q1","Millions of chained 2012 dollars","6",16179968
"30","SQGDP1-1","00000","United States","2012Q2","Millions of chained 2012 dollars","6",16253726
"31","SQGDP1-1","00000","United States","2012Q3","Millions of chained 2012 dollars","6",16282151
"32","SQGDP1-1","00000","United States","2012Q4","Millions of chained 2012 dollars","6",16300035
"33","SQGDP1-1","00000","United States","2013Q1","Millions of chained 2012 dollars","6",16441485
"34","SQGDP1-1","00000","United States","2013Q2","Millions of chained 2012 dollars","6",16464402
"35","SQGDP1-1","00000","United States","2013Q3","Millions of chained 2012 dollars","6",16594743
"36","SQGDP1-1","00000","United States","2013Q4","Millions of chained 2012 dollars","6",16712760
"37","SQGDP1-1","00000","United States","2014Q1","Millions of chained 2012 dollars","6",16654247
"38","SQGDP1-1","00000","United States","2014Q2","Millions of chained 2012 dollars","6",16868109
"39","SQGDP1-1","00000","United States","2014Q3","Millions of chained 2012 dollars","6",17064616
"40","SQGDP1-1","00000","United States","2014Q4","Millions of chained 2012 dollars","6",17141235
"41","SQGDP1-1","00000","United States","2015Q1","Millions of chained 2012 dollars","6",17280647
"42","SQGDP1-1","00000","United States","2015Q2","Millions of chained 2012 dollars","6",17380875
"43","SQGDP1-1","00000","United States","2015Q3","Millions of chained 2012 dollars","6",17437080
"44","SQGDP1-1","00000","United States","2015Q4","Millions of chained 2012 dollars","6",17462579
"45","SQGDP1-1","00000","United States","2016Q1","Millions of chained 2012 dollars","6",17565465
"46","SQGDP1-1","00000","United States","2016Q2","Millions of chained 2012 dollars","6",17618581
"47","SQGDP1-1","00000","United States","2016Q3","Millions of chained 2012 dollars","6",17724489
"48","SQGDP1-1","00000","United States","2016Q4","Millions of chained 2012 dollars","6",17812560
"49","SQGDP1-1","00000","United States","2017Q1","Millions of chained 2012 dollars","6",17896623
"50","SQGDP1-1","00000","United States","2017Q2","Millions of chained 2012 dollars","6",17996802
"51","SQGDP1-1","00000","United States","2017Q3","Millions of chained 2012 dollars","6",18126226
"52","SQGDP1-1","00000","United States","2017Q4","Millions of chained 2012 dollars","6",18296685
"53","SQGDP1-1","00000","United States","2018Q1","Millions of chained 2012 dollars","6",18436262
"54","SQGDP1-1","00000","United States","2018Q2","Millions of chained 2012 dollars","6",18590004
"55","SQGDP1-1","00000","United States","2018Q3","Millions of chained 2012 dollars","6",18679599
"56","SQGDP1-1","00000","United States","2018Q4","Millions of chained 2012 dollars","6",18721281
"57","SQGDP1-1","00000","United States","2019Q1","Millions of chained 2012 dollars","6",18833195
"58","SQGDP1-1","00000","United States","2019Q2","Millions of chained 2012 dollars","6",18982528
"59","SQGDP1-1","00000","United States","2019Q3","Millions of chained 2012 dollars","6",19112653
"60","SQGDP1-1","00000","United States","2019Q4","Millions of chained 2012 dollars","6",19202310
"61","SQGDP1-1","00000","United States","2020Q1","Millions of chained 2012 dollars","6",18951992
"62","SQGDP1-1","00000","United States","2020Q2","Millions of chained 2012 dollars","6",17258205
"63","SQGDP1-1","00000","United States","2020Q3","Millions of chained 2012 dollars","6",18560774
"64","SQGDP1-1","00000","United States","2020Q4","Millions of chained 2012 dollars","6",18767778
"65","SQGDP1-1","00000","United States","2021Q1","Millions of chained 2012 dollars","6",19055655
"66","SQGDP1-1","00000","United States","2021Q2","Millions of chained 2012 dollars","6",19368310
"67","SQGDP1-1","00000","United States","2021Q3","Millions of chained 2012 dollars","6",19478893
"68","SQGDP1-1","00000","United States","2021Q4","Millions of chained 2012 dollars","6",19806290
"69","SQGDP1-1","00000","United States","2022Q1","Millions of chained 2012 dollars","6",19727918
"70","SQGDP1-1","01000","Alabama","2005Q1","Millions of chained 2012 dollars","6",182600.4
"71","SQGDP1-1","01000","Alabama","2005Q2","Millions of chained 2012 dollars","6",184625.7
"72","SQGDP1-1","01000","Alabama","2005Q3","Millions of chained 2012 dollars","6",184134.9
"73","SQGDP1-1","01000","Alabama","2005Q4","Millions of chained 2012 dollars","6",186116.9
"74","SQGDP1-1","01000","Alabama","2006Q1","Millions of chained 2012 dollars","6",186539
"75","SQGDP1-1","01000","Alabama","2006Q2","Millions of chained 2012 dollars","6",187489.6
"76","SQGDP1-1","01000","Alabama","2006Q3","Millions of chained 2012 dollars","6",187442.8
"77","SQGDP1-1","01000","Alabama","2006Q4","Millions of chained 2012 dollars","6",187611.6
"78","SQGDP1-1","01000","Alabama","2007Q1","Millions of chained 2012 dollars","6",187376.1
"79","SQGDP1-1","01000","Alabama","2007Q2","Millions of chained 2012 dollars","6",188746.2
"80","SQGDP1-1","01000","Alabama","2007Q3","Millions of chained 2012 dollars","6",189934.1
"81","SQGDP1-1","01000","Alabama","2007Q4","Millions of chained 2012 dollars","6",189953.7
"82","SQGDP1-1","01000","Alabama","2008Q1","Millions of chained 2012 dollars","6",188933.9
"83","SQGDP1-1","01000","Alabama","2008Q2","Millions of chained 2012 dollars","6",189288.6
"84","SQGDP1-1","01000","Alabama","2008Q3","Millions of chained 2012 dollars","6",187535.2
"85","SQGDP1-1","01000","Alabama","2008Q4","Millions of chained 2012 dollars","6",182028.9
"86","SQGDP1-1","01000","Alabama","2009Q1","Millions of chained 2012 dollars","6",180072.9
"87","SQGDP1-1","01000","Alabama","2009Q2","Millions of chained 2012 dollars","6",180406.4
"88","SQGDP1-1","01000","Alabama","2009Q3","Millions of chained 2012 dollars","6",180990.1
"89","SQGDP1-1","01000","Alabama","2009Q4","Millions of chained 2012 dollars","6",181359.2
"90","SQGDP1-1","01000","Alabama","2010Q1","Millions of chained 2012 dollars","6",181276.7
"91","SQGDP1-1","01000","Alabama","2010Q2","Millions of chained 2012 dollars","6",183649.6
"92","SQGDP1-1","01000","Alabama","2010Q3","Millions of chained 2012 dollars","6",187004.4
